spotify_artist_id,artist_name
0hCNtLu0JehylgoiP8L4Gh,"""Nicki Minaj"""
00XhexlJEXQstHimpZN910,"""Brytiago"""
2jku7tDXc6XoB6MO2hFuqg,"""Tory Lanez"""
0Tob4H0FLtEONHU1MjpUEp,"""Tinie Tempah"""
4fxd5Ee7UefO4CUXgwJ7IP,"""Giveon"""
3oSJ7TBVCWMDMiYjXNiCKE,"""Kane Brown"""
5KEG7G8LDYlHgFDqZyEEs2,"""Chris Rea"""
4jpsw9CQS439N0B7SecMgf,"""Ant Saunders"""
3gIRvgZssIb9aiirIg0nI3,"""Jeremy Zucker"""
77qukKzmdI5BeMBR7WGUrN,"""Aaron Smith"""
0NnUMWDCDi1snuMja6IdxH,"""Harry Nach"""
3yzRiNMZdTsSUgplcyYZ4i,"""Blanco Brown"""
4STHEaNw4mPZ2tzheohgXB,"""Paul McCartney"""
7nDsS0l5ZAzMedVRKPP8F1,"""Ella Henderson"""
2qdONMCoDngQk0eV4Avs1i,"""Natalie La Rose"""
7nKeLE1toRtW4M279iS26h,"""Zay Hilfigerrr"""
23wEWD21D4TPYiJugoXmYb,"""ThalÃ­a"""
3QLIkT4rD2FMusaqmkepbq,"""Rachel Platten"""
6cK3NBO6uP7hh0oyuVELFl,"""Saweetie"""
6P5NO5hzJbuOqSdyPB7SJM,"""Ashe"""
1wZtkThiXbVNtj6hee6dz9,"""Wisin & Yandel"""
6cEuCEZu7PAE9ZSzLLc2oQ,"""R3HAB"""
3QJUFtGBGL05vo0kCJZsmT,"""salem ilese"""
5v8jlSmAQfrkTjAlpUfWtu,"""Perry Como"""
5fMUXHkw8R8eOP2RNVYEZX,"""Diplo"""
4ScCswdRlyA23odg9thgIO,"""Jess Glynne"""
73jBynjsVtofjRpdpRAJGk,"""Dimitri Vegas & Like Mike"""
