,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
245,246,7MPGCB854Qo4alYMOPkBka,"""Ritt Momney""",4725505,http://www.instagram.com/rittmomney_,rittmomney_,,,,,-1,
246,247,4Q6nIcaBED8qUel8bBx6Cr,"""Jax Jones""",4574087,,,,,,,-1,
248,249,0tmwSHipWxN12fsoLcFU3B,"""Manuel Turizo""",,,,,,,,-1,
249,250,28gNT5KBp7IjEOQoevXf9N,"""Camilo""",,,,,,,,-1,
250,251,1cNDP5yjU5vjeR8qMf4grg,"""YNW Melly""",4717183,,,,,,,-1,
257,258,7iK8PXO48WeuP03g8YR51W,"""Myke Towers""",,,,,,,,-1,
263,264,1pPmIToKXyGdsCF6LmqLmI,"""Rich The Kid""",4573249,,,,,,,-1,
264,265,1Mxqyy3pSjf8kZZL4QVxS0,"""Frank Sinatra""",2007,,,,,,,-1,
267,268,7gAppWoH7pcYmphCVTXkzs,"""The Vamps""",4553311,,,,,,,-1,
269,270,0NGAZxHanS9e0iNHpR8f2W,"""Alok""",4521887,,,,,,,-1,
271,272,3jHBxvZ9gbBkZ17wKUqVsO,"""Kent Jones""",4664585,,,,,,,-1,
273,274,2NfSBtmWe7oPw1EmetJVso,"""Boza""",,,,,,,,-1,
275,276,2X97ZAqRKRMYFIDqtvGgGc,"""Silk City""",,,,,,,,-1,
276,277,4vhNDa5ycK0ST968ek7kRr,"""Carlos Vives""",104805,,,,,,,-1,
277,278,6i3DxIlAqnDkwELLw4aVrx,"""Lele Pons""",,,,,,,,-1,
278,279,7A8S43ryYdbWpJKeHRZRcq,"""JACKBOYS""",,,,,,,,-1,
279,280,2OnKRchqP7tT0FzTvWIFI7,"""Wolfine""",4561033,,,,,,,-1,
281,282,55fhWPvDiMpLnE4ZzNXZyW,"""Noah Cyrus""",,,,,,,,-1,
282,283,1b4DN8Vj0dnj5cceMFsRYN,"""Dante Klein""",4681819,,,,,,,-1,
283,284,7Ln80lUS6He07XvHI8qqHH,"""Arctic Monkeys""",101700,,,,,,,-1,
284,285,14zUHaJZo1mnYtn6IBRaRP,"""Justin Quiles""",,,,,,,,-1,
286,287,2ayNSoKPCRAfjp6hQ76hRu,"""Nacho""",,,,,,,,-1,
288,289,08GQAI4eElDnROBrJRGE0X,"""Fleetwood Mac""",100536,,,,,,,-1,
291,292,5dHt1vcEm9qb8fCyLcB3HL,"""A$AP Ferg""",4495846,,,,,,,-1,
293,294,3Gm5F95VdRxW3mqCn8RPBJ,"""AminÃ©""",6809,,,,,,,-1,
300,301,6VD4UEUPvtsemqD3mmTqCR,"""Deorro""",4555213,,,,,,,-1,
301,302,1uU7g3DNSbsu0QjSEqZtEd,"""Masked Wolf""",,,,,,,,-1,
302,303,7HV2RI2qNug4EcQqLbCAKS,"""Keala Settle""",4707953,,,,,,,-1,
304,305,0OROVBEZCocg0FcgJpyBse,"""Alex Sensation""",100376,,,,,,,-1,
305,306,6U1dBXJhC8gXFjamvFTmHg,"""Zac Efron""",105316,,,,,,,-1,
306,307,0WOxhx4hikIsyF3CRPLC8W,"""Famous Dex""",4684765,,,,,,,-1,
317,318,28ExwzUQsvgJooOI0X1mr3,"""Jay Rock""",4562703,,,,,,,-1,
318,319,6ZjFtWeHP9XN7FeKSUe80S,"""Bing Crosby""",5722,,,,,,,-1,
320,321,3EXdLajEO02ziZ90P90bSW,"""Lil Xan""",,,,,,,,-1,
321,322,4kYGAK2zu9EAomwj3hXkXy,"""JP Cooper""",4570903,,,,,,,-1,
324,325,1KP6TWI40m7p3QBTU6u2xo,"""BÃ˜RNS""",4505887,,,,,,,-1,
325,326,3tQx1LPXbsYjE9VwN1Peaa,"""Marc E. Bassy""",140148,,,,,,,-1,
326,327,3ATyg4fGC9F8trfb0GRWmX,"""Joey Montana""",164203,http://instagram.com/joeymontanaoficial,joeymontanaoficial,,,,,-1,
327,328,1anyVhU62p31KFi8MEzkbf,"""Chance the Rapper""",4560911,http://www.instagram.com/BzhLtNsAto2,BzhLtNsAto2,,,,,-1,
328,329,4ON1ruy5ijE7ZPQthbrkgI,"""Burak Yeter""",,,,,,,,-1,
329,330,3O5HD95HTEPgoPFOjAb7yV,"""DripReport""",,,,,,,,-1,
330,331,0ErzCpIMyLcjPiwT4elrtZ,"""NLE Choppa""",4721210,http://www.instagram.com/choppppppa,choppppppa,,,,,-1,
332,333,7juKTDFlPesGeWQ1GmjmOv,"""SilentÃ³""",4567097,,,,,,,-1,
333,334,3Isy6kedDrgPYoTS1dazA9,"""Sean Paul""",5130,,,,,,,-1,
334,335,2hWs22BmQkK4czFtDLnar2,"""Rob $tone""",,,,,,,,-1,
336,337,2o08sCWF5yyo2G4DCiT7T9,"""HVME""",,,,,,,,-1,
337,338,2oX42qP5ineK3hrhBECLmj,"""Andy Grammer""",165282,,,,,,,-1,
338,339,699OTQXzgjhIYAHMy9RyPD,"""Playboi Carti""",,,,,,,,-1,
340,341,00me4Ke1LsvMxt5kydlMyU,"""Cosculluela""",4486402,,,,,,,-1,
343,344,4x1nvY2FN8jxqAFA0DA02H,"""John Lennon""",13,,,,,,,-1,
345,346,5H6xmHXjsq98NLbEjuE29f,"""NEIKED""",,,,,,,,-1,
347,348,4AKwRarlmsUlLjIwt38NLw,"""Ofenbach""",4569349,,,,,,,-1,
348,349,2kqUKsTuEj1lPbm6BSn1AU,"""Rich Music LTD""",,,,,,,,-1,
350,351,49e4v89VmlDcFCMyDv9wQ9,"""Dean Martin""",2006,,,,,,,-1,
353,354,1Bl6wpkWCQ4KVgnASpvzzA,"""BROCKHAMPTON""",,,,,,,,-1,
356,357,7v4imS0moSyGdXyLgVTIV7,"""Nat King Cole""",2188,,,,,,,-1,
357,358,3Fl1V19tmjt57oBdxXKAjJ,"""Blueface""",4719154,,,,,,,-1,
360,361,1U1el3k54VvEUzo3ybLPlM,"""Kali Uchis""",4676025,,,,,,,-1,
364,365,6d47Z08T4snK50HgTEHo5Z,"""Sage The Gemini""",4555383,,,,,,,-1,
365,366,5NS0854TqZQVoRmJKSWtFZ,"""Chino & Nacho""",4486380,,,,,,,-1,
367,368,3nFkdlSjzX9mRTtwJOzDYB,"""JAY Z""",1727,,,,,,,-1,
368,369,0MHgLfmQdutffmvWe5XBTN,"""Burl Ives""",106925,,,,,,,-1,
369,370,2DspEsT7UXGKd2VaaedgG4,"""Alex Rose""",4716611,,,,,,,-1,
370,371,2W6kbe0nm96COrHzNmfLLd,"""MC Fioti""",,,,,,,,-1,
371,372,4qWnlmXWuGv2TtuxtIWlJX,"""BANNERS""",,,,,,,,-1,
372,373,5vBSrE1xujD2FXYRarbAXc,"""Years & Years""",4561250,,,,,,,-1,
374,375,7mnAzEmgquhrVtGob81SmO,"""Big Shaq""",,,,,,,,-1,
376,377,2DlGxzQSjYe5N6G9nkYghR,"""Jennifer Lopez""",5117,,,,,,,-1,
377,378,43ZHCT0cAZBISjO8DG9PnE,"""Elvis Presley""",1132,,,,,,,-1,
378,379,15NtJjjHRFybdNSMyM9smT,"""Nevada""",,,,,,,,-1,
379,380,6gK1Uct5FEdaUWRWpU4Cl2,"""Petit Biscuit""",4575897,,,,,,,-1,
